type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,6339,0.2975583325758192,6,836068.0
barabasi,3,2,23912,0.3943166747093385,6,955321.0
barabasi,3,3,20637,0.4007659732169626,6,960608.0
barabasi,3,4,30398,0.5535758182728638,6,988515.0
barabasi,3,5,20984,0.2250128668485468,6,697529.0
barabasi,3,6,48336,0.38892032962987116,6,950642.0
barabasi,3,7,11268,0.2911191522920798,6,825473.0
barabasi,3,8,22554,0.856658604514805,6,491184.0
barabasi,3,9,37253,0.5680544814874815,6,981471.0
barabasi,3,10,1392,0.07463696775781442,6,276284.0
barabasi,4,1,12337,0.12901295268776058,8,449482.0
barabasi,4,2,19131,0.383213107124725,8,945440.0
barabasi,4,3,83316,0.6129355865619787,8,948979.0
barabasi,4,4,10644,0.17749141629063883,8,583955.0
barabasi,4,5,76825,0.5330545807361399,8,995626.0
barabasi,4,6,36465,0.28148616944744537,8,809006.0
barabasi,4,7,27493,0.48233640283995277,8,998749.0
barabasi,4,8,61973,0.6765460560889454,8,875324.0
barabasi,4,9,73384,0.8118108715786994,8,611098.0
barabasi,4,10,27924,0.4074313388649517,8,965721.0
barabasi,5,1,13430,0.17040195379715384,10,565463.0
barabasi,5,2,168112,0.6021539151895894,10,958255.0
barabasi,5,3,1143,0.04512468893026817,10,172389.0
barabasi,5,4,55037,0.39981038605191466,10,959845.0
barabasi,5,5,19762,0.20791650853889942,10,658750.0
barabasi,5,6,46721,0.35092409969015576,10,911103.0
barabasi,5,7,74253,0.3674021263504821,10,929668.0
barabasi,5,8,66074,0.5985469504791651,10,961151.0
barabasi,5,9,363,0.033905029296875,10,131072.0
barabasi,5,10,18344,0.2160030352060279,10,677384.0
barabasi,6,1,63041,0.27310850292162,12,794080.0
barabasi,6,2,84466,0.6332195201763602,12,929008.0
barabasi,6,3,27744,0.47255823563868626,12,996984.0
barabasi,6,4,171370,0.6542441027726694,12,904832.0
barabasi,6,5,17271,0.1322006271505183,12,458901.0
barabasi,6,6,48282,0.3621197592087918,12,923954.0
barabasi,6,7,46146,0.34903761832403757,12,908839.0
barabasi,6,8,11662,0.16482881861965262,12,550644.0
barabasi,6,9,148664,0.5241191977307126,12,997670.0
barabasi,6,10,2508,0.06770740516329853,12,252513.0
barabasi,7,1,5320,0.14441708531529654,14,494249.0
barabasi,7,2,187,0.011391033155647962,14,45211.0
barabasi,7,3,144536,0.49685236465168003,14,999957.0
barabasi,7,4,41214,0.32562283049606716,14,878369.0
barabasi,7,5,4008,0.07005514007574566,14,260609.0
barabasi,7,6,103687,0.7855534795506925,14,673837.0
barabasi,7,7,3837,0.11652039185782768,14,411782.0
barabasi,7,8,48541,0.3698840257606117,14,932276.0
barabasi,7,9,1047,0.04503237355713904,14,172054.0
barabasi,7,10,275,0.01991736277231269,14,78173.0
barabasi,8,1,104959,0.24657550837501666,16,743103.0
barabasi,8,2,16784,0.11498759427125556,16,407070.0
barabasi,8,3,12003,0.16563223027621352,16,552797.0
barabasi,8,4,32857,0.2797864078151713,16,806022.0
barabasi,8,5,2977,0.06458766917542111,16,241687.0
barabasi,8,6,133,0.008002250632990529,16,31991.0
barabasi,8,7,25169,0.1651520371344128,16,551510.0
barabasi,8,8,112915,0.3441481195962066,16,902838.0
barabasi,8,9,14661,0.11156705877605375,16,396488.0
barabasi,8,10,5533,0.10101035128289836,16,363240.0
barabasi,9,1,8582,0.12543100599591156,18,438799.0
barabasi,9,2,1930,0.07562162722750501,18,279629.0
barabasi,9,3,8755,0.08231961560353157,18,302188.0
barabasi,9,4,49728,0.20761764665656612,18,658051.0
barabasi,9,5,49693,0.18841034645687313,18,611649.0
barabasi,9,6,12863,0.09995998710695668,18,359884.0
barabasi,9,7,1264,0.04452056806764165,18,170191.0
barabasi,9,8,170254,0.6357895668734521,18,926242.0
barabasi,9,9,146,0.008684863523573201,18,34658.0
barabasi,9,10,4320,0.0882658101232006,18,321914.0
barabasi,10,1,1585,0.03319498843665076,20,128423.0
barabasi,10,2,590,0.020244495083659622,20,79429.0
barabasi,10,3,129914,0.26066578801259865,20,770876.0
barabasi,10,4,790,0.024361790454970625,20,95149.0
barabasi,10,5,31145,0.11037362357583859,20,392775.0
barabasi,10,6,737,0.03329373490795307,20,128793.0
barabasi,10,7,16665,0.08373329683971809,20,306903.0
barabasi,10,8,1913,0.03625582925643006,20,139812.0
barabasi,10,9,11,0.0,20,2824.0
barabasi,10,10,318,0.017845952258873126,20,70212.0
barabasi,11,1,129395,0.30353698585749644,22,845607.0
barabasi,11,2,583,0.01795347388392541,22,70627.0
barabasi,11,3,33875,0.1892634748294975,22,613774.0
barabasi,11,4,1421,0.03374919535297183,22,130492.0
barabasi,11,5,3377,0.0775229838850631,22,286070.0
barabasi,11,6,158,0.01156837541665759,22,45901.0
barabasi,11,7,394,0.014764893507562507,22,58314.0
barabasi,11,8,27,0.0015275656158866824,22,7201.0
barabasi,11,9,180,0.011107836692131572,22,44113.0
barabasi,11,10,6700,0.15789889296672885,22,531872.0
barabasi,12,1,45,0.0,24,2824.0
barabasi,12,2,22,0.0,24,2824.0
barabasi,12,3,13,0.0,24,2824.0
barabasi,12,4,30,0.0,24,2824.0
barabasi,12,5,49,0.0,24,2824.0
barabasi,12,6,18,0.0,24,2824.0
barabasi,12,7,13,0.0,24,2826.0
barabasi,12,8,150,0.0,24,2824.0
barabasi,12,9,67,0.0,24,2824.0
barabasi,12,10,904,0.0,24,2824.0
barabasi,13,1,105,0.0,26,2824.0
barabasi,13,2,15,0.0,26,2824.0
barabasi,13,3,384,0.005014749262536873,26,20340.0
barabasi,13,4,12,0.0,26,2824.0
barabasi,13,5,27,0.0,26,2824.0
barabasi,13,6,86,0.0,26,2824.0
barabasi,13,7,82,0.0,26,2824.0
barabasi,13,8,41,0.0,26,2824.0
barabasi,13,9,48,0.0,26,2824.0
barabasi,13,10,29,0.0,26,2824.0
barabasi,14,1,43,0.0,28,2825.0
barabasi,14,2,37,0.0,28,2824.0
barabasi,14,3,16,0.0,28,2824.0
barabasi,14,4,15,0.0,28,2824.0
barabasi,14,5,395,0.0,28,2824.0
barabasi,14,6,15,0.0,28,2824.0
