type,dafNodes,repetition,time,justification,peafNodes,iteration,attacks,supports
barabasi,3,6,36,0.0,4,52.0,3,4
barabasi,3,1,43,0.015625,4,64.0,3,4
barabasi,3,12,41,0.0,4,52.0,3,4
barabasi,3,2,139,0.08208955223880597,5,134.0,3,7
barabasi,3,7,149,0.08633093525179857,4,139.0,3,4
barabasi,3,13,187,0.07317073170731707,4,123.0,3,4
barabasi,3,15,212,0.12290502793296089,6,179.0,3,10
barabasi,3,4,226,0.168141592920354,4,226.0,3,4
barabasi,3,17,179,0.23793103448275862,4,290.0,3,4
barabasi,3,18,197,0.17316017316017315,5,231.0,3,7
barabasi,3,10,318,0.2210144927536232,5,276.0,3,7
barabasi,3,20,186,0.831858407079646,4,226.0,3,4
barabasi,3,3,417,0.5380710659898477,6,394.0,3,10
barabasi,3,26,114,0.4489795918367347,4,392.0,3,4
barabasi,3,11,467,0.24662162162162163,4,296.0,3,4
barabasi,3,30,8,0.02702702702702703,5,74.0,3,7
barabasi,3,14,641,0.6263440860215054,6,372.0,3,10
barabasi,3,5,645,0.5025252525252525,5,396.0,3,7
barabasi,3,22,434,0.42377260981912146,5,387.0,3,7
barabasi,3,31,192,0.1968503937007874,4,254.0,3,4
barabasi,3,23,458,0.9494949494949495,5,99.0,3,7
barabasi,3,32,89,0.29518072289156627,5,332.0,3,7
barabasi,3,28,333,0.4046997389033943,4,383.0,3,4
barabasi,3,8,766,0.5406091370558376,5,394.0,3,7
barabasi,3,21,595,0.7961538461538461,5,260.0,3,7
barabasi,3,24,770,0.5721649484536082,5,388.0,3,7
barabasi,3,40,245,0.7516778523489933,5,298.0,3,7
barabasi,3,42,25,0.08208955223880597,6,134.0,3,10
barabasi,3,43,53,0.38133333333333336,4,375.0,3,4
barabasi,3,37,408,0.5681233933161953,6,389.0,3,10
barabasi,3,38,403,0.46835443037974683,6,395.0,3,10
barabasi,3,33,512,0.412987012987013,5,385.0,3,7
barabasi,3,45,73,0.168141592920354,5,226.0,3,7
barabasi,3,19,1099,0.6068601583113457,4,379.0,3,4
barabasi,3,16,1183,0.8709677419354839,5,186.0,3,7
barabasi,3,50,9,0.050505050505050504,5,99.0,3,7
barabasi,3,34,645,0.6410958904109589,6,365.0,3,10
barabasi,3,49,70,0.1377551020408163,5,196.0,3,7
barabasi,3,52,15,0.03614457831325301,5,83.0,3,7
barabasi,3,36,670,0.917910447761194,5,134.0,3,7
barabasi,3,9,1368,0.7255520504731862,6,317.0,3,10
barabasi,3,27,1042,0.5470737913486005,5,393.0,3,7
barabasi,3,57,28,0.09868421052631579,4,152.0,3,4
barabasi,3,25,1157,0.7125382262996942,5,327.0,3,7
barabasi,3,48,233,0.9494949494949495,6,99.0,3,10
barabasi,3,59,8,0.0625,4,112.0,3,4
barabasi,3,56,106,0.8122448979591836,5,245.0,3,7
barabasi,3,29,1054,0.5316455696202531,5,395.0,3,7
barabasi,3,54,182,0.5510204081632653,6,392.0,3,10
barabasi,3,64,0,0.0,4,52.0,3,4
barabasi,3,53,204,0.49747474747474746,6,396.0,3,10
barabasi,3,46,361,0.6985074626865672,6,335.0,3,10
barabasi,3,66,12,0.08208955223880597,5,134.0,3,7
barabasi,3,47,372,0.3398876404494382,5,356.0,3,7
barabasi,3,44,426,0.41968911917098445,5,386.0,3,7
barabasi,3,60,115,0.9322033898305084,4,118.0,3,4
barabasi,3,41,541,0.5681233933161953,6,389.0,3,10
barabasi,3,70,34,0.3685636856368564,4,369.0,3,4
barabasi,3,35,916,0.6752873563218391,5,348.0,3,7
barabasi,3,72,6,0.08208955223880597,5,134.0,3,7
barabasi,3,51,321,0.8247863247863247,4,234.0,3,4
barabasi,3,76,4,0.05714285714285714,5,105.0,3,7
barabasi,3,74,26,0.2361111111111111,4,288.0,3,4
barabasi,3,55,253,0.38563829787234044,6,376.0,3,10
barabasi,3,39,870,0.743421052631579,4,304.0,3,4
barabasi,3,80,0,0.02702702702702703,5,74.0,3,7
barabasi,3,63,154,0.2483221476510067,6,298.0,3,10
barabasi,3,62,192,0.587012987012987,5,385.0,3,7
barabasi,3,69,144,0.6341463414634146,5,369.0,3,7
barabasi,3,83,11,0.08633093525179857,5,139.0,3,7
barabasi,3,81,55,0.225,5,280.0,3,7
barabasi,3,58,297,0.3753351206434316,5,373.0,3,7
barabasi,3,86,18,0.10975609756097561,4,164.0,3,4
barabasi,3,82,83,0.2621359223300971,5,309.0,3,7
barabasi,3,89,19,0.2803738317757009,5,321.0,3,7
barabasi,3,68,228,0.8425925925925926,5,216.0,3,7
barabasi,3,91,1,0.0,5,52.0,3,7
barabasi,3,90,9,0.04395604395604396,5,91.0,3,7
barabasi,3,71,192,0.494949494949495,4,396.0,3,4
barabasi,3,94,1,0.015625,4,64.0,3,4
barabasi,3,73,190,0.5025252525252525,4,396.0,3,4
barabasi,3,79,170,0.46835443037974683,4,395.0,3,4
barabasi,3,97,6,0.10256410256410256,5,156.0,3,7
barabasi,3,92,35,0.1703056768558952,5,229.0,3,7
barabasi,3,93,39,0.49242424242424243,4,396.0,3,4
barabasi,3,100,0,0.0,5,52.0,3,7
barabasi,3,78,194,0.5803108808290155,5,386.0,3,7
barabasi,3,67,325,0.8902439024390244,5,164.0,3,7
barabasi,3,98,54,0.17796610169491525,6,236.0,3,10
barabasi,3,77,279,0.5762273901808785,5,387.0,3,7
barabasi,3,61,450,0.7789855072463768,6,276.0,3,10
barabasi,3,87,205,0.5252525252525253,6,396.0,3,10
barabasi,3,65,414,0.455470737913486,5,393.0,3,7
barabasi,3,84,250,0.4489795918367347,4,392.0,3,4
barabasi,4,3,88,0.1703056768558952,6,229.0,5,8
barabasi,4,5,78,0.4073107049608355,8,383.0,5,14
barabasi,4,9,33,0.2645161290322581,7,310.0,5,11
barabasi,3,95,205,0.9560439560439561,6,91.0,3,10
barabasi,4,13,18,0.2972972972972973,7,333.0,5,11
barabasi,3,75,397,0.6456043956043956,5,364.0,3,7
barabasi,4,15,25,0.0625,6,112.0,5,8
barabasi,3,99,257,0.6010498687664042,6,381.0,3,10
barabasi,4,12,83,0.3685636856368564,5,369.0,5,5
barabasi,4,7,146,0.18518518518518517,7,243.0,5,11
barabasi,4,19,3,0.03614457831325301,6,83.0,5,8
barabasi,3,85,388,0.5265822784810127,5,395.0,3,7
barabasi,4,16,74,0.2361111111111111,8,288.0,5,14
barabasi,4,6,193,0.27070063694267515,6,314.0,5,8
barabasi,4,23,0,0.0,5,52.0,5,5
barabasi,4,21,105,0.23972602739726026,5,292.0,5,5
barabasi,3,96,426,0.5316455696202531,4,395.0,3,4
barabasi,3,88,494,0.6601123595505618,5,356.0,3,7
barabasi,4,25,36,0.21052631578947367,6,266.0,5,8
barabasi,4,22,134,0.6831395348837209,7,344.0,5,11
barabasi,4,14,246,0.32954545454545453,7,352.0,5,11
barabasi,4,26,66,0.14356435643564355,8,202.0,5,14
barabasi,4,17,230,0.3056379821958457,5,337.0,5,5
barabasi,4,10,351,0.3314447592067989,6,353.0,5,8
barabasi,4,33,0,0.015625,5,64.0,5,5
barabasi,4,32,29,0.07317073170731707,6,123.0,5,8
barabasi,4,4,475,0.544529262086514,7,393.0,5,11
barabasi,4,1,543,0.38133333333333336,8,375.0,5,14
barabasi,4,36,26,0.16289592760180996,7,221.0,5,11
barabasi,4,29,157,0.963855421686747,5,83.0,5,5
barabasi,4,11,425,0.494949494949495,5,396.0,5,5
barabasi,4,39,11,0.0625,6,112.0,5,8
barabasi,4,41,1,0.0,6,52.0,5,8
barabasi,4,42,3,0.02702702702702703,6,74.0,5,8
barabasi,4,43,0,0.02702702702702703,5,74.0,5,5
barabasi,4,44,3,0.015625,6,64.0,5,8
barabasi,4,35,85,0.1703056768558952,5,229.0,5,5
barabasi,4,46,1,0.19444444444444445,5,252.0,5,5
barabasi,4,47,17,0.20610687022900764,5,262.0,5,5
barabasi,4,48,2,0.03614457831325301,6,83.0,5,8
barabasi,4,40,43,0.23157894736842105,7,285.0,5,11
barabasi,4,31,175,0.25,6,300.0,5,8
barabasi,4,2,647,0.5601023017902813,5,391.0,5,5
barabasi,4,18,485,0.7339743589743589,7,312.0,5,11
barabasi,4,34,260,0.9136690647482014,7,139.0,5,11
barabasi,4,54,2,0.03614457831325301,6,83.0,5,8
barabasi,4,52,102,0.972972972972973,8,74.0,5,14
barabasi,4,27,362,0.8425925925925926,6,216.0,5,8
barabasi,4,57,14,0.09868421052631579,6,152.0,5,8
barabasi,4,56,53,0.1523809523809524,6,210.0,5,8
barabasi,4,53,81,0.23793103448275862,6,290.0,5,8
barabasi,4,60,7,0.07751937984496124,6,129.0,5,8
barabasi,4,61,12,0.06779661016949153,6,118.0,5,8
barabasi,4,51,212,0.30149253731343284,7,335.0,5,11
barabasi,4,30,462,0.775,6,280.0,5,8
barabasi,4,45,296,0.8622448979591837,6,196.0,5,8
barabasi,4,64,3,0.0625,6,112.0,5,8
barabasi,4,66,1,0.015625,5,64.0,5,5
barabasi,4,59,92,0.32471264367816094,7,348.0,5,11
barabasi,4,38,393,0.5641025641025641,6,390.0,5,8
barabasi,4,28,528,0.6564245810055865,7,358.0,5,11
barabasi,4,67,50,0.14634146341463414,7,205.0,5,11
barabasi,4,37,406,0.5641025641025641,7,390.0,5,11
barabasi,4,63,98,0.21052631578947367,8,266.0,5,14
barabasi,4,73,0,0.0,6,52.0,5,8
barabasi,4,49,342,0.4170984455958549,8,386.0,5,14
barabasi,4,72,30,0.1523809523809524,6,210.0,5,8
barabasi,4,76,5,0.03614457831325301,6,83.0,5,8
barabasi,4,69,43,0.24662162162162163,8,296.0,5,14
barabasi,4,78,1,0.015625,6,64.0,5,8
barabasi,4,65,95,0.1825726141078838,7,241.0,5,11
barabasi,4,80,9,0.07317073170731707,6,123.0,5,8
barabasi,4,81,18,0.14903846153846154,7,208.0,5,11
barabasi,4,24,747,0.604221635883905,6,379.0,5,8
barabasi,4,8,935,0.5721649484536082,7,388.0,5,11
barabasi,4,83,5,0.06779661016949153,5,118.0,5,5
barabasi,4,84,2,0.015625,7,64.0,5,11
barabasi,4,71,106,0.278125,7,320.0,5,11
barabasi,4,77,81,0.13541666666666666,6,192.0,5,8
barabasi,4,20,810,0.4170984455958549,7,386.0,5,11
barabasi,4,86,25,0.0945945945945946,6,148.0,5,8
barabasi,4,62,251,0.89375,7,160.0,5,11
barabasi,4,89,27,0.1523809523809524,6,210.0,5,8
barabasi,4,68,199,0.3915343915343915,7,378.0,5,11
barabasi,4,92,8,0.05714285714285714,5,105.0,5,5
barabasi,4,93,4,0.050505050505050504,6,99.0,5,8
barabasi,4,55,361,0.384,6,375.0,5,8
barabasi,4,75,151,0.31085043988269795,7,341.0,5,11
barabasi,4,50,487,0.5470737913486005,5,393.0,5,5
barabasi,4,98,1,0.0,7,52.0,5,11
barabasi,4,99,0,0.0,6,52.0,5,8
barabasi,4,100,28,0.09868421052631579,8,152.0,5,14
barabasi,5,1,4,0.03614457831325301,9,83.0,6,15
barabasi,4,95,67,0.12568306010928962,8,183.0,5,14
barabasi,5,3,0,0.0,9,52.0,6,15
barabasi,4,70,239,0.2565789473684211,5,304.0,5,5
barabasi,5,4,34,0.08208955223880597,8,134.0,6,12
barabasi,4,74,269,0.27070063694267515,6,314.0,5,8
barabasi,5,6,12,0.08633093525179857,10,139.0,6,18
barabasi,5,8,0,0.0,8,52.0,6,12
barabasi,5,9,1,0.015625,8,64.0,6,12
barabasi,4,79,239,0.6263440860215054,5,372.0,5,5
barabasi,5,2,79,0.2803738317757009,8,321.0,6,12
barabasi,4,58,456,0.5844155844155844,5,385.0,5,5
barabasi,4,91,158,0.278125,6,320.0,5,8
barabasi,5,12,46,0.18518518518518517,9,243.0,6,15
barabasi,5,15,1,0.0,7,52.0,6,9
barabasi,4,82,293,0.2744479495268139,6,317.0,5,8
barabasi,4,94,211,0.49242424242424243,7,396.0,5,11
barabasi,5,18,1,0.0,8,52.0,6,12
barabasi,5,19,3,0.03614457831325301,7,83.0,6,9
barabasi,5,16,88,0.18775510204081633,9,245.0,6,15
barabasi,5,10,155,0.20833333333333334,7,264.0,6,9
barabasi,5,17,164,0.38563829787234044,9,376.0,6,15
barabasi,4,88,412,0.494949494949495,6,396.0,5,8
barabasi,5,22,102,0.266025641025641,8,312.0,6,12
barabasi,5,5,332,0.4088541666666667,7,384.0,6,9
barabasi,5,24,38,0.1407035175879397,7,199.0,6,9
barabasi,5,27,24,0.09090909090909091,8,143.0,6,12
barabasi,4,97,425,0.6084656084656085,7,378.0,5,11
barabasi,4,90,488,0.781021897810219,7,274.0,5,11
barabasi,4,87,519,0.731629392971246,7,313.0,5,11
barabasi,4,96,466,0.48737373737373735,6,396.0,5,8
barabasi,5,21,209,0.192,8,250.0,6,12
barabasi,5,26,67,0.18951612903225806,7,248.0,6,9
barabasi,5,23,104,0.19444444444444445,8,252.0,6,12
barabasi,5,29,52,0.12568306010928962,8,183.0,6,12
barabasi,5,36,1,0.0,8,52.0,6,12
barabasi,5,35,31,0.07317073170731707,8,123.0,6,12
barabasi,5,14,384,0.4424552429667519,8,391.0,6,12
barabasi,5,20,311,0.384,9,375.0,6,15
barabasi,5,30,76,0.14634146341463414,6,205.0,6,6
barabasi,5,41,1,0.015625,8,64.0,6,12
barabasi,5,42,2,0.015625,9,64.0,6,15
barabasi,5,32,106,0.23157894736842105,9,285.0,6,15
barabasi,5,44,17,0.05714285714285714,8,105.0,6,12
barabasi,5,7,486,0.6509695290858726,9,361.0,6,15
barabasi,5,46,1,0.0,7,52.0,6,9
barabasi,5,13,482,0.3128654970760234,9,342.0,6,15
