type,dafNodes,repetition,time,justification,peafNodes,iteration,attacks,supports
barabasi,3,1,21,0.0,4,24.0,3,4
barabasi,3,2,2,0.03333333333333333,5,30.0,3,7
barabasi,3,3,56,0.4895833333333333,6,96.0,3,10
barabasi,3,4,5,0.1694915254237288,4,59.0,3,4
barabasi,3,5,21,0.4791666666666667,5,96.0,3,7
barabasi,3,6,0,0.0,4,24.0,3,4
barabasi,3,7,10,0.13725490196078433,4,51.0,3,4
barabasi,3,8,23,0.5104166666666666,5,96.0,3,7
barabasi,3,9,33,0.8095238095238095,6,63.0,3,10
barabasi,3,10,0,0.03333333333333333,5,30.0,3,7
barabasi,3,11,10,0.2962962962962963,4,81.0,3,4
barabasi,3,12,1,0.0,4,24.0,3,4
barabasi,3,13,2,0.07894736842105263,4,38.0,3,4
barabasi,3,14,12,0.6404494382022472,6,89.0,3,10
barabasi,3,15,4,0.14814814814814814,6,54.0,3,10
barabasi,3,16,20,0.8775510204081632,5,49.0,3,7
barabasi,3,17,1,0.07894736842105263,4,38.0,3,4
barabasi,3,18,2,0.12244897959183673,5,49.0,3,7
barabasi,3,19,27,0.5851063829787234,4,94.0,3,4
barabasi,3,20,3,0.8,4,65.0,3,4
barabasi,3,21,10,0.7534246575342466,5,73.0,3,7
barabasi,3,22,9,0.5104166666666666,5,96.0,3,7
barabasi,3,23,9,0.9666666666666667,5,30.0,3,7
barabasi,3,24,8,0.5578947368421052,5,95.0,3,7
barabasi,3,25,20,0.6904761904761905,5,84.0,3,7
barabasi,3,26,2,0.5208333333333334,4,96.0,3,4
barabasi,3,27,20,0.6086956521739131,5,92.0,3,7
barabasi,3,28,5,0.3978494623655914,4,93.0,3,4
barabasi,3,29,21,0.6195652173913043,5,92.0,3,7
barabasi,3,30,3,0.09523809523809523,5,42.0,3,7
barabasi,3,31,1,0.09523809523809523,4,42.0,3,4
barabasi,3,32,2,0.2875,5,80.0,3,7
barabasi,3,33,8,0.3804347826086957,5,92.0,3,7
barabasi,3,34,15,0.6404494382022472,6,89.0,3,10
barabasi,3,35,15,0.7714285714285715,5,70.0,3,7
barabasi,3,36,16,0.8518518518518519,5,54.0,3,7
barabasi,3,37,7,0.6086956521739131,6,92.0,3,10
barabasi,3,38,12,0.6195652173913043,6,92.0,3,10
barabasi,3,39,11,1.0,4,24.0,3,4
barabasi,3,40,6,0.7368421052631579,5,76.0,3,7
barabasi,3,41,17,0.5,6,96.0,3,10
barabasi,3,42,2,0.13725490196078433,6,51.0,3,10
barabasi,3,43,7,0.4148936170212766,4,94.0,3,4
barabasi,3,44,39,0.4421052631578947,5,95.0,3,7
barabasi,3,45,2,0.07894736842105263,5,38.0,3,7
barabasi,3,46,27,0.6823529411764706,6,85.0,3,10
barabasi,3,47,12,0.30120481927710846,5,83.0,3,7
barabasi,3,48,10,0.9411764705882353,6,34.0,3,10
barabasi,3,49,3,0.19047619047619047,5,63.0,3,7
barabasi,3,50,1,0.07894736842105263,5,38.0,3,7
barabasi,3,51,13,0.9210526315789473,4,38.0,3,4
barabasi,3,52,2,0.09523809523809523,5,42.0,3,7
barabasi,3,53,16,0.4421052631578947,6,95.0,3,10
barabasi,3,54,18,0.574468085106383,6,94.0,3,10
barabasi,3,55,14,0.37362637362637363,6,91.0,3,10
barabasi,3,56,9,0.7125,5,80.0,3,7
barabasi,3,57,4,0.12244897959183673,4,49.0,3,4
barabasi,3,58,7,0.2692307692307692,5,78.0,3,7
barabasi,3,59,1,0.0,4,24.0,3,4
barabasi,3,60,21,0.8888888888888888,4,45.0,3,4
barabasi,3,61,18,0.7714285714285715,6,70.0,3,10
barabasi,3,62,8,0.6086956521739131,5,92.0,3,7
barabasi,3,63,6,0.208955223880597,6,67.0,3,10
barabasi,3,64,1,0.03333333333333333,4,30.0,3,4
barabasi,3,65,15,0.43157894736842106,5,95.0,3,7
barabasi,3,66,1,0.07894736842105263,5,38.0,3,7
