type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,85,0.967741935483871,5,31.0
barabasi,3,2,34,0.7307692307692307,6,78.0
barabasi,3,3,18,1.0,5,24.0
barabasi,3,4,6,0.1694915254237288,5,59.0
barabasi,3,5,15,0.2692307692307692,5,78.0
barabasi,3,6,7,0.07894736842105263,5,38.0
barabasi,3,7,4,0.0,5,25.0
barabasi,3,8,5,0.20270270270270271,5,74.0
barabasi,3,9,3,0.05714285714285714,5,35.0
barabasi,3,10,3,0.16071428571428573,4,56.0
barabasi,3,11,31,0.6823529411764706,5,85.0
barabasi,3,12,4,0.09523809523809523,4,42.0
barabasi,3,13,6,0.07692307692307693,6,39.0
barabasi,3,14,42,0.6987951807228916,5,83.0
barabasi,3,15,4,0.14814814814814814,5,54.0
barabasi,3,16,8,0.32558139534883723,4,86.0
barabasi,3,17,14,0.07142857142857142,5,42.0
barabasi,3,18,17,0.39086294416243655,5,197.0
barabasi,3,19,4,0.03333333333333333,6,30.0
barabasi,3,20,2,0.058823529411764705,4,34.0
barabasi,3,21,2,0.03333333333333333,4,30.0
barabasi,3,22,3,0.725,5,80.0
barabasi,3,23,14,0.425531914893617,4,94.0
barabasi,3,24,14,0.6904761904761905,4,84.0
barabasi,3,25,29,0.6590909090909091,5,88.0
barabasi,3,26,10,0.4895833333333333,5,96.0
barabasi,3,27,7,0.03333333333333333,4,30.0
barabasi,3,28,9,0.8125,5,64.0
barabasi,3,29,14,0.4583333333333333,6,96.0
barabasi,3,30,3,0.49514563106796117,4,103.0
barabasi,3,31,10,1.0,5,25.0
barabasi,3,32,8,0.5,5,96.0
barabasi,3,33,1,0.0,4,25.0
barabasi,3,34,8,0.8095238095238095,4,63.0
barabasi,3,35,3,0.8095238095238095,5,63.0
barabasi,3,36,11,0.40860215053763443,6,93.0
barabasi,3,37,5,0.09523809523809523,5,42.0
barabasi,3,38,19,0.46875,5,96.0
barabasi,3,39,25,0.6263736263736264,5,91.0
barabasi,3,40,24,0.7638888888888888,5,72.0
barabasi,3,41,7,0.3409090909090909,6,88.0
barabasi,3,42,2,0.05714285714285714,5,35.0
barabasi,3,43,26,0.5416666666666666,5,96.0
barabasi,3,44,31,0.13725490196078433,6,51.0
barabasi,3,45,8,0.19047619047619047,5,63.0
barabasi,3,46,2,0.07894736842105263,4,38.0
barabasi,3,47,10,0.8888888888888888,6,45.0
barabasi,3,48,10,0.8125,6,64.0
barabasi,3,49,6,0.2962962962962963,5,81.0
barabasi,3,50,6,0.0,5,24.0
barabasi,3,51,4,0.09523809523809523,4,42.0
barabasi,3,52,10,0.1694915254237288,5,59.0
barabasi,3,53,3,0.2692307692307692,6,78.0
barabasi,3,54,6,0.13725490196078433,5,51.0
barabasi,3,55,3,0.0,4,24.0
barabasi,3,56,1,0.058823529411764705,4,34.0
barabasi,3,57,4,0.4583333333333333,6,96.0
barabasi,3,58,14,0.6744186046511628,6,86.0
barabasi,3,59,3,0.0,4,24.0
barabasi,3,60,30,0.8627450980392157,4,51.0
barabasi,3,61,12,0.5416666666666666,5,96.0
barabasi,3,62,3,0.058823529411764705,5,34.0
barabasi,3,63,1,0.09523809523809523,4,42.0
barabasi,3,64,3,0.5416666666666666,5,96.0
barabasi,3,65,14,0.574468085106383,5,94.0
barabasi,3,66,7,0.4791666666666667,4,96.0
barabasi,3,67,13,0.16071428571428573,4,56.0
barabasi,3,68,3,0.2962962962962963,4,81.0
barabasi,3,69,3,0.5,6,96.0
barabasi,3,70,2,0.34831460674157305,5,89.0
barabasi,3,71,5,0.391304347826087,5,92.0
barabasi,3,72,6,0.4895833333333333,5,96.0
barabasi,3,73,9,0.12244897959183673,5,49.0
barabasi,3,74,11,1.0,5,24.0
barabasi,3,75,3,0.0,5,24.0
barabasi,3,76,2,0.07894736842105263,5,38.0
barabasi,3,77,9,0.6404494382022472,4,89.0
barabasi,3,78,2,0.6744186046511628,4,86.0
barabasi,3,79,4,0.33707865168539325,5,89.0
barabasi,3,80,9,0.47435897435897434,6,234.0
barabasi,3,81,12,0.5578947368421052,6,95.0
barabasi,3,82,3,0.10869565217391304,5,46.0
barabasi,3,83,1,0.14814814814814814,5,54.0
barabasi,3,84,15,0.4895833333333333,4,96.0
barabasi,3,85,18,0.6666666666666666,6,87.0
barabasi,3,86,4,0.3409090909090909,5,88.0
barabasi,3,87,2,0.5578947368421052,4,95.0
barabasi,3,88,3,0.058823529411764705,5,34.0
barabasi,3,89,4,0.6263736263736264,5,91.0
barabasi,3,90,7,0.2,5,65.0
barabasi,3,91,30,0.7125,4,80.0
barabasi,3,92,15,0.2875,4,80.0
barabasi,3,93,7,0.18032786885245902,5,61.0
barabasi,3,94,7,0.6504854368932039,6,103.0
barabasi,3,95,3,0.0,4,25.0
barabasi,3,96,5,0.53125,5,96.0
barabasi,3,97,2,0.058823529411764705,5,34.0
barabasi,3,98,4,0.40860215053763443,6,93.0
barabasi,3,99,10,0.7215189873417721,5,79.0
barabasi,3,100,5,0.21739130434782608,5,69.0
barabasi,4,1,18,0.4791666666666667,6,96.0
barabasi,4,2,14,0.6666666666666666,6,87.0
barabasi,4,3,4,0.09523809523809523,8,42.0
barabasi,4,4,10,0.8,8,65.0
barabasi,4,5,2,0.07894736842105263,6,38.0
barabasi,4,6,2,0.0,5,24.0
barabasi,4,7,18,0.6404494382022472,6,89.0
barabasi,4,8,11,0.6404494382022472,7,89.0
barabasi,4,9,2,0.058823529411764705,6,34.0
barabasi,4,10,15,0.6333333333333333,6,90.0
barabasi,4,11,2,0.07894736842105263,7,38.0
barabasi,4,12,13,0.5913978494623656,7,93.0
barabasi,4,13,11,0.40860215053763443,8,93.0
barabasi,4,14,3,0.09523809523809523,7,42.0
barabasi,4,15,3,0.07894736842105263,6,38.0
barabasi,4,16,3,0.058823529411764705,5,34.0
barabasi,4,17,4,0.07894736842105263,8,38.0
barabasi,4,18,2,0.2,6,65.0
barabasi,4,19,4,0.5208333333333334,7,96.0
barabasi,4,20,8,0.5520833333333334,7,96.0
barabasi,4,21,22,0.4791666666666667,8,96.0
barabasi,4,22,7,0.0,6,24.0
barabasi,4,23,8,0.6333333333333333,5,90.0
barabasi,4,24,18,0.4791666666666667,8,96.0
barabasi,4,25,2,0.07894736842105263,6,38.0
barabasi,4,26,3,0.09523809523809523,8,42.0
barabasi,4,27,7,0.4479166666666667,6,96.0
barabasi,4,28,2,0.058823529411764705,6,34.0
barabasi,4,29,7,0.40860215053763443,5,93.0
barabasi,4,30,3,0.03333333333333333,7,30.0
barabasi,4,31,9,0.7368421052631579,6,76.0
barabasi,4,32,1,0.09523809523809523,8,42.0
barabasi,4,33,1,0.0,8,25.0
barabasi,4,34,6,0.32954545454545453,8,88.0
barabasi,4,35,20,0.5416666666666666,8,96.0
barabasi,4,36,4,0.05714285714285714,5,35.0
barabasi,4,37,5,0.07894736842105263,6,38.0
barabasi,4,38,2,0.19047619047619047,6,63.0
barabasi,4,39,8,0.8888888888888888,7,45.0
barabasi,4,40,5,0.27848101265822783,7,79.0
barabasi,4,41,8,0.46875,7,96.0
barabasi,4,42,2,0.0,6,24.0
barabasi,4,43,1,0.03125,7,32.0
barabasi,4,44,2,0.07692307692307693,7,39.0
barabasi,4,45,5,0.37362637362637363,7,91.0
barabasi,4,46,13,0.819672131147541,7,61.0
barabasi,4,47,2,0.058823529411764705,6,34.0
barabasi,4,48,13,0.7037037037037037,8,81.0
barabasi,4,49,1,0.07692307692307693,6,39.0
barabasi,4,50,7,0.8775510204081632,6,49.0
barabasi,4,51,5,0.6195652173913043,7,92.0
barabasi,4,52,3,0.14814814814814814,6,54.0
barabasi,4,53,8,0.3804347826086957,7,92.0
barabasi,4,54,18,0.7307692307692307,7,78.0
barabasi,4,55,3,0.16666666666666666,7,60.0
barabasi,4,56,10,0.40860215053763443,6,93.0
barabasi,4,57,6,0.16071428571428573,7,56.0
barabasi,4,58,10,0.6086956521739131,7,92.0
barabasi,4,59,3,0.208955223880597,7,67.0
barabasi,4,60,9,0.8095238095238095,5,63.0
barabasi,4,61,2,0.2,7,65.0
barabasi,4,62,3,0.14814814814814814,6,54.0
barabasi,4,63,7,0.3409090909090909,7,88.0
barabasi,4,64,2,0.0,5,24.0
barabasi,4,65,9,0.6404494382022472,7,89.0
barabasi,4,66,2,0.058823529411764705,7,34.0
barabasi,4,67,1,0.058823529411764705,6,34.0
barabasi,4,68,8,0.8518518518518519,6,54.0
barabasi,4,69,9,0.6904761904761905,6,84.0
barabasi,4,70,3,0.058823529411764705,5,34.0
barabasi,4,71,1,0.03333333333333333,7,30.0
barabasi,4,72,2,0.03225806451612903,6,31.0
barabasi,4,73,9,0.5208333333333334,8,96.0
barabasi,4,74,8,0.34831460674157305,7,89.0
barabasi,4,75,3,0.0,6,24.0
barabasi,4,76,1,0.0,8,25.0
barabasi,4,77,4,0.1346153846153846,6,52.0
barabasi,4,78,2,0.4895833333333333,7,96.0
barabasi,4,79,2,0.1111111111111111,7,45.0
barabasi,4,80,3,0.4895833333333333,6,96.0
barabasi,4,81,7,0.9047619047619048,6,42.0
barabasi,4,82,5,0.2631578947368421,5,76.0
barabasi,4,83,8,0.8518518518518519,7,54.0
barabasi,4,84,2,0.03333333333333333,6,30.0
barabasi,4,85,1,0.0,6,24.0
barabasi,4,86,1,0.16071428571428573,6,56.0
barabasi,4,87,1,0.32558139534883723,7,86.0
barabasi,4,88,1,0.03333333333333333,6,30.0
barabasi,4,89,8,0.6021505376344086,5,93.0
barabasi,4,90,4,0.3595505617977528,6,89.0
barabasi,4,91,1,0.07692307692307693,6,39.0
barabasi,4,92,2,0.0,6,24.0
barabasi,4,93,7,0.7037037037037037,7,81.0
barabasi,4,94,22,0.4895833333333333,6,96.0
barabasi,4,95,8,0.34831460674157305,8,89.0
barabasi,4,96,9,0.4895833333333333,7,96.0
barabasi,4,97,4,0.07894736842105263,6,38.0
barabasi,4,98,2,0.05555555555555555,6,36.0
barabasi,4,99,1,0.0,5,24.0
barabasi,4,100,0,0.0,7,25.0
barabasi,5,1,1,0.0,6,24.0
barabasi,5,2,10,0.6195652173913043,9,92.0
barabasi,5,3,2,0.1111111111111111,7,45.0
barabasi,5,4,2,0.0,8,24.0
barabasi,5,5,1,0.0,9,24.0
barabasi,5,6,6,0.30952380952380953,8,84.0
barabasi,5,7,2,0.09523809523809523,8,42.0
barabasi,5,8,13,0.6590909090909091,8,88.0
barabasi,5,9,12,0.13725490196078433,8,51.0
barabasi,5,10,4,0.2465753424657534,10,73.0
barabasi,5,11,1,0.0,8,26.0
barabasi,5,12,1,0.0,7,24.0
barabasi,5,13,18,0.5416666666666666,8,96.0
barabasi,5,14,5,0.36666666666666664,10,90.0
barabasi,5,15,13,0.3595505617977528,7,89.0
barabasi,5,16,9,0.37362637362637363,8,91.0
barabasi,5,17,2,0.13725490196078433,9,51.0
barabasi,5,18,1,0.0,9,24.0
barabasi,5,19,2,0.0,7,24.0
barabasi,5,20,1,0.03333333333333333,9,30.0
barabasi,5,21,6,0.16071428571428573,8,56.0
barabasi,5,22,4,0.058823529411764705,10,34.0
barabasi,5,23,4,0.1111111111111111,6,45.0
barabasi,5,24,2,0.07894736842105263,9,38.0
barabasi,5,25,14,0.4479166666666667,7,96.0
barabasi,5,26,8,0.3804347826086957,10,92.0
barabasi,5,27,1,0.0,6,26.0
barabasi,5,28,1,0.03333333333333333,8,30.0
barabasi,5,29,1,0.03225806451612903,6,31.0
barabasi,5,30,9,0.3333333333333333,8,87.0
barabasi,5,31,1,0.03333333333333333,10,30.0
barabasi,5,32,2,0.0,8,24.0
barabasi,5,33,2,0.0,7,24.0
barabasi,5,34,11,0.7466666666666667,8,75.0
barabasi,5,35,3,0.058823529411764705,10,34.0
barabasi,5,36,1,0.14285714285714285,9,56.0
barabasi,5,37,2,0.03125,9,32.0
barabasi,5,38,1,0.0,8,24.0
barabasi,5,39,1,0.09523809523809523,9,42.0
barabasi,5,40,13,0.53125,9,96.0
barabasi,5,41,3,0.03333333333333333,8,30.0
barabasi,5,42,4,0.058823529411764705,8,34.0
barabasi,5,43,4,0.05714285714285714,7,35.0
barabasi,5,44,2,0.058823529411764705,9,34.0
barabasi,5,45,31,0.5520833333333334,8,96.0
barabasi,5,46,12,0.0,7,24.0
barabasi,5,47,40,0.7215189873417721,7,79.0
barabasi,5,48,15,0.9666666666666667,9,30.0
barabasi,5,49,4,0.03333333333333333,8,30.0
barabasi,5,50,3,0.14814814814814814,9,54.0
barabasi,5,51,6,0.3595505617977528,9,89.0
barabasi,5,52,13,0.6404494382022472,9,89.0
barabasi,5,53,3,0.03225806451612903,9,31.0
barabasi,5,54,2,0.0,8,28.0
barabasi,5,55,6,0.13725490196078433,9,51.0
barabasi,5,56,2,0.2,7,65.0
barabasi,5,57,2,0.0,9,24.0
barabasi,5,58,11,0.1,7,50.0
barabasi,5,59,1,0.03333333333333333,7,30.0
barabasi,5,60,2,0.13725490196078433,6,51.0
barabasi,5,61,2,0.07894736842105263,7,38.0
barabasi,5,62,8,0.21739130434782608,9,69.0
barabasi,5,63,4,0.0,8,24.0
barabasi,5,64,1,0.0,7,24.0
barabasi,5,65,8,0.4895833333333333,9,96.0
barabasi,5,66,3,0.03333333333333333,8,30.0
barabasi,5,67,1,0.03333333333333333,8,30.0
barabasi,5,68,1,0.0,10,24.0
barabasi,5,69,2,0.0,7,25.0
barabasi,5,70,4,0.1111111111111111,7,45.0
barabasi,5,71,1,0.1694915254237288,9,59.0
barabasi,5,72,1,0.0,9,24.0
barabasi,5,73,10,0.2875,9,80.0
barabasi,5,74,7,0.0,7,24.0
barabasi,5,75,7,0.12244897959183673,6,49.0
barabasi,5,76,3,0.09523809523809523,9,42.0
barabasi,5,77,11,0.03333333333333333,8,30.0
barabasi,5,78,1,0.058823529411764705,6,34.0
barabasi,5,79,1,0.058823529411764705,7,34.0
barabasi,5,80,1,0.0,7,25.0
barabasi,5,81,1,0.058823529411764705,6,34.0
barabasi,5,82,2,0.0,7,24.0
barabasi,5,83,1,0.0,9,24.0
barabasi,5,84,3,0.03333333333333333,9,30.0
barabasi,5,85,5,0.07894736842105263,8,38.0
barabasi,5,86,11,0.574468085106383,9,94.0
barabasi,5,87,11,0.25333333333333335,7,75.0
barabasi,5,88,1,0.058823529411764705,8,34.0
barabasi,5,89,1,0.0,8,25.0
barabasi,5,90,13,0.3804347826086957,6,92.0
barabasi,5,91,4,0.0,7,24.0
barabasi,5,92,2,0.03333333333333333,8,30.0
barabasi,5,93,2,0.07894736842105263,9,38.0
barabasi,5,94,2,0.1111111111111111,8,45.0
barabasi,5,95,1,0.19696969696969696,7,66.0
barabasi,5,96,2,0.1111111111111111,9,45.0
barabasi,5,97,2,0.0,8,24.0
barabasi,5,98,2,0.058823529411764705,8,34.0
barabasi,5,99,1,0.0,7,25.0
barabasi,5,100,6,0.2465753424657534,7,73.0
barabasi,6,1,13,0.208955223880597,10,67.0
barabasi,6,2,5,0.058823529411764705,10,34.0
barabasi,6,3,1,0.0,10,24.0
barabasi,6,4,1,0.0,11,24.0
barabasi,6,5,1,0.058823529411764705,9,34.0
barabasi,6,6,6,0.0,8,25.0
barabasi,6,7,22,0.7714285714285715,9,70.0
barabasi,6,8,8,0.34831460674157305,10,89.0
barabasi,6,9,10,0.5578947368421052,10,95.0
barabasi,6,10,14,0.425531914893617,10,94.0
barabasi,6,11,4,0.07692307692307693,9,39.0
barabasi,6,12,1,0.03333333333333333,8,30.0
barabasi,6,13,3,0.07894736842105263,9,38.0
barabasi,6,14,4,0.05714285714285714,9,35.0
barabasi,6,15,2,0.09523809523809523,9,42.0
barabasi,6,16,3,0.03333333333333333,11,30.0
barabasi,6,17,3,0.19047619047619047,10,63.0
barabasi,6,18,2,0.03333333333333333,8,30.0
barabasi,6,19,1,0.058823529411764705,9,34.0
barabasi,6,20,1,0.0,9,25.0
barabasi,6,21,2,0.0,8,24.0
barabasi,6,22,1,0.03333333333333333,9,30.0
barabasi,6,23,1,0.0,9,24.0
barabasi,6,24,1,0.058823529411764705,9,34.0
barabasi,6,25,3,0.07894736842105263,8,38.0
barabasi,6,26,5,0.0,10,24.0
barabasi,6,27,2,0.0,9,24.0
barabasi,6,28,7,0.391304347826087,9,92.0
barabasi,6,29,3,0.030303030303030304,9,33.0
barabasi,6,30,1,0.03225806451612903,10,31.0
barabasi,6,31,1,0.03333333333333333,10,30.0
barabasi,6,32,3,0.1111111111111111,9,45.0
barabasi,6,33,8,0.3595505617977528,12,89.0
barabasi,6,34,6,0.19696969696969696,11,66.0
barabasi,6,35,2,0.0,10,24.0
barabasi,6,36,1,0.0,10,24.0
barabasi,6,37,9,0.2875,10,80.0
barabasi,6,38,3,0.0,9,24.0
barabasi,6,39,1,0.03333333333333333,10,30.0
barabasi,6,40,18,0.4148936170212766,11,94.0
barabasi,6,41,6,0.12,11,50.0
barabasi,6,42,2,0.03333333333333333,8,30.0
barabasi,6,43,2,0.0,8,24.0
barabasi,6,44,2,0.208955223880597,11,67.0
barabasi,6,45,2,0.1111111111111111,8,45.0
barabasi,6,46,1,0.03225806451612903,11,31.0
barabasi,6,47,2,0.07894736842105263,9,38.0
barabasi,6,48,1,0.03225806451612903,10,31.0
barabasi,6,49,2,0.1774193548387097,10,62.0
barabasi,6,50,12,0.34831460674157305,9,89.0
barabasi,6,51,6,0.2631578947368421,11,76.0
barabasi,6,52,2,0.03333333333333333,10,30.0
barabasi,6,53,1,0.0,8,24.0
barabasi,6,54,1,0.07894736842105263,9,38.0
barabasi,6,55,2,0.09302325581395349,10,43.0
barabasi,6,56,1,0.03225806451612903,7,31.0
barabasi,6,57,1,0.09523809523809523,11,42.0
barabasi,6,58,1,0.0,9,24.0
barabasi,6,59,2,0.03333333333333333,7,30.0
barabasi,6,60,1,0.0,11,24.0
barabasi,6,61,1,0.03333333333333333,11,30.0
barabasi,6,62,2,0.058823529411764705,11,34.0
barabasi,6,63,4,0.03225806451612903,11,31.0
barabasi,6,64,8,0.22535211267605634,8,71.0
barabasi,6,65,19,0.7368421052631579,9,76.0
barabasi,6,66,16,0.32558139534883723,10,86.0
barabasi,6,67,3,0.0,10,25.0
barabasi,6,68,6,0.40860215053763443,10,93.0
barabasi,6,69,3,0.058823529411764705,10,34.0
barabasi,6,70,1,0.0,9,24.0
barabasi,6,71,1,0.0,11,24.0
barabasi,6,72,12,0.9210526315789473,8,38.0
barabasi,6,73,3,0.0,9,24.0
barabasi,6,74,1,0.0,11,24.0
barabasi,6,75,1,0.03333333333333333,8,30.0
barabasi,6,76,1,0.0,11,24.0
barabasi,6,77,1,0.03125,9,32.0
barabasi,6,78,16,0.6404494382022472,9,89.0
barabasi,6,79,3,0.03225806451612903,9,31.0
barabasi,6,80,1,0.07894736842105263,9,38.0
barabasi,6,81,2,0.0,9,28.0
barabasi,6,82,1,0.0,9,24.0
barabasi,6,83,1,0.058823529411764705,11,34.0
barabasi,6,84,2,0.03225806451612903,12,31.0
barabasi,6,85,2,0.09523809523809523,8,42.0
barabasi,6,86,8,0.391304347826087,11,92.0
barabasi,6,87,3,0.1111111111111111,10,45.0
